DATE,EXPGSC1
1947-01-01,97.759
1947-04-01,96.526
1947-07-01,91.627
1947-10-01,81.245
1948-01-01,77.539
1948-04-01,70.29
1948-07-01,71.943
1948-10-01,69.407
1949-01-01,77.714
1949-04-01,77.048
1949-07-01,70.613
1949-10-01,61.127
1950-01-01,60.119
1950-04-01,60.846
1950-07-01,62.424
1950-10-01,67.483
1951-01-01,70.856
1951-04-01,77.829
1951-07-01,79.741
1951-10-01,78.993
1952-01-01,83.197
1952-04-01,74.051
1952-07-01,68.203
1952-10-01,68.67
1953-01-01,67.509
1953-04-01,67.929
1953-07-01,70.652
1953-10-01,68.324
1954-01-01,65.26
1954-04-01,74.636
1954-07-01,72.238
1954-10-01,75.564
1955-01-01,78.372
1955-04-01,76.545
1955-07-01,81.568
1955-10-01,81.936
1956-01-01,85.825
1956-04-01,91.608
1956-07-01,94.657
1956-10-01,98.898
1957-01-01,105.343
1957-04-01,102.222
1957-07-01,99.365
1957-10-01,96.403
1958-01-01,86.848
1958-04-01,87.255
1958-07-01,87.509
1958-10-01,87.194
1959-01-01,93.516
1959-04-01,92.769
1959-07-01,101.715
1959-10-01,96.682
1960-01-01,109.142
1960-04-01,112.273
1960-07-01,114.72
1960-10-01,115.331
1961-01-01,114.538
1961-04-01,109.207
1961-07-01,114.143
1961-10-01,116.004
1962-01-01,115.322
1962-04-01,121.949
1962-07-01,121.735
1962-10-01,117.798
1963-01-01,119.586
1963-04-01,129.146
1963-07-01,128.5
1963-10-01,133.522
1964-01-01,140.274
1964-04-01,139.702
1964-07-01,144.075
1964-10-01,146.977
1965-01-01,129.87
1965-04-01,151.61
1965-07-01,148.241
1965-10-01,157.301
1966-01-01,153.425
1966-04-01,158.035
1966-07-01,156.147
1966-10-01,160.029
1967-01-01,161.994
1967-04-01,159.841
1967-07-01,158.558
1967-10-01,161.549
1968-01-01,166.086
1968-04-01,168.865
1968-07-01,180.873
1968-10-01,176.853
1969-01-01,156.295
1969-04-01,190.547
