DATE,IMPGSC1
1947-01-01,60.271
1947-04-01,61.432
1947-07-01,54.482
1947-10-01,57.419
1948-01-01,64.749
1948-04-01,67.316
1948-07-01,70.831
1948-10-01,69.682
1949-01-01,67.592
1949-04-01,66.606
1949-07-01,63.891
1949-10-01,64.853
1950-01-01,66.665
1950-04-01,70.345
1950-07-01,86.806
1950-10-01,86.969
1951-01-01,86.975
1951-04-01,84.092
1951-07-01,76.971
1951-10-01,74.958
1952-01-01,83.655
1952-04-01,83.222
1952-07-01,88.314
1952-10-01,96.232
1953-01-01,93.861
1953-04-01,98.728
1953-07-01,98.352
1953-10-01,93.514
1954-01-01,88.114
1954-04-01,96.039
1954-07-01,90.246
1954-10-01,91.102
1955-01-01,96.485
1955-04-01,101.956
1955-07-01,103.672
1955-10-01,107.428
1956-01-01,111.938
1956-04-01,111.356
1956-07-01,112.323
1956-10-01,107.168
1957-01-01,115.692
1957-04-01,116.596
1957-07-01,114.348
1957-10-01,114.742
1958-01-01,116.45
1958-04-01,121.427
1958-07-01,119.582
1958-10-01,125.837
1959-01-01,129.091
1959-04-01,135.333
1959-07-01,136.602
1959-10-01,133.129
1960-01-01,138.173
1960-04-01,139.209
1960-07-01,135.112
1960-10-01,128.739
1961-01-01,128.113
1961-04-01,129.675
1961-07-01,138.263
1961-10-01,141.551
1962-01-01,145.86
1962-04-01,149.043
1962-07-01,150.933
1962-10-01,152.778
1963-01-01,149.242
1963-04-01,152.755
1963-07-01,156.634
1963-10-01,156.12
1964-01-01,155.973
1964-04-01,159.484
1964-07-01,163.764
1964-10-01,168.193
1965-01-01,162.139
1965-04-01,181.272
1965-07-01,182.016
1965-10-01,190.897
1966-01-01,195.817
1966-04-01,200.687
1966-07-01,211.943
1966-10-01,214.33
1967-01-01,217.676
1967-04-01,215.946
1967-07-01,218.782
1967-10-01,230.32
1968-01-01,243.89
1968-04-01,247.61
1968-07-01,262.491
1968-10-01,260.279
1969-01-01,235.729
1969-04-01,282.236
1969-07-01,278.579
1969-10-01,275.519
1970-01-01,274.617
1970-04-01,280.044
1970-07-01,279.401
1970-10-01,283.734
1971-01-01,280.39
1971-04-01,301.541
1971-07-01,308.207
1971-10-01,287.317
1972-01-01,329.308
1972-04-01,317.607
1972-07-01,324.218
1972-10-01,338.823
1973-01-01,354.48
1973-04-01,344.262
1973-07-01,334.752
1973-10-01,337.25
1974-01-01,325.812
1974-04-01,343.072
1974-07-01,337.076
1974-10-01,333.731
1975-01-01,300.244
1975-04-01,276.218
1975-07-01,299.181
1975-10-01,315.151
