DATE,PCECC96
1947-01-01,1274.952
1947-04-01,1296.163
1947-07-01,1300.388
1947-10-01,1300.801
1948-01-01,1307.283
1948-04-01,1322.494
1948-07-01,1324.446
1948-10-01,1335.016
1949-01-01,1337.177
1949-04-01,1357.672
1949-07-01,1360.751
1949-10-01,1380.702
1950-01-01,1403.69
1950-04-01,1426.807
1950-07-01,1500.076
1950-10-01,1454.855
1951-01-01,1490.034
1951-04-01,1447.928
1951-07-01,1464.796
1951-10-01,1473.33
1952-01-01,1476.743
1952-04-01,1505.663
1952-07-01,1512.885
1952-10-01,1566.256
1953-01-01,1584.651
1953-04-01,1594.191
1953-07-01,1590.393
1953-10-01,1579.729
1954-01-01,1585.556
1954-04-01,1606.146
1954-07-01,1627.882
1954-10-01,1662.047
1955-01-01,1699.34
1955-04-01,1731.894
1955-07-01,1753.286
1955-10-01,1775.302
1956-01-01,1778.186
1956-04-01,1784.101
1956-07-01,1788.135
1956-10-01,1812.786
1957-01-01,1825.394
1957-04-01,1828.576
1957-07-01,1843.026
1957-10-01,1843.793
1958-01-01,1818.286
1958-04-01,1833.319
1958-07-01,1863.736
1958-10-01,1889.052
1959-01-01,1923.675
1959-04-01,1953.384
1959-07-01,1973.791
1959-10-01,1976.014
1960-01-01,1994.918
1960-04-01,2020.082
1960-07-01,2012.008
1960-10-01,2014.614
1961-01-01,2013.865
1961-04-01,2043.835
1961-07-01,2053.774
1961-10-01,2095.084
1962-01-01,2117.277
1962-04-01,2143.306
1962-07-01,2160.58
1962-10-01,2191.15
1963-01-01,2206.499
1963-04-01,2227.32
1963-07-01,2257.536
1963-10-01,2276.347
1964-01-01,2321.024
1964-04-01,2362.081
1964-07-01,2405.713
1964-10-01,2412.58
1965-01-01,2466.382
1965-04-01,2493.584
1965-07-01,2536.43
1965-10-01,2607.736
1966-01-01,2646.233
1966-04-01,2653.014
1966-07-01,2683.309
1966-10-01,2694.488
1967-01-01,2710.014
1967-04-01,2747.064
1967-07-01,2761.129
1967-10-01,2778.026
1968-01-01,2844.601
1968-04-01,2887.917
1968-07-01,2942.042
1968-10-01,2955.313
1969-01-01,2988.082
1969-04-01,3007.358
1969-07-01,3022.02
1969-10-01,3046.173
1970-01-01,3065.074
1970-04-01,3078.959
1970-07-01,3105.952
1970-10-01,3097.52
1971-01-01,3156.978
1971-04-01,3185.993
1971-07-01,3211.394
1971-10-01,3264.679
1972-01-01,3307.767
1972-04-01,3370.736
1972-07-01,3422.682
1972-10-01,3503.001
1973-01-01,3566.957
1973-04-01,3565.349
1973-07-01,3577.898
1973-10-01,3567.227
1974-01-01,3535.312
1974-04-01,3548.041
1974-07-01,3563.282
1974-10-01,3511.197
1975-01-01,3540.647
1975-04-01,3598.886
1975-07-01,3650.035
1975-10-01,3689.285
1976-01-01,3763.048
1976-04-01,3797.67
1976-07-01,3837.654
1976-10-01,3887.447
1977-01-01,3933.268
1977-04-01,3954.596
1977-07-01,3991.989
1977-10-01,4052.01
1978-01-01,4074.774
1978-04-01,4161.887
1978-07-01,4179.363
1978-10-01,4213.088
1979-01-01,4234.909
1979-04-01,4232.159
1979-07-01,4273.342
1979-10-01,4283.975
1980-01-01,4277.851
1980-04-01,4181.51
1980-07-01,4227.379
1980-10-01,4284.494
1981-01-01,4298.847
1981-04-01,4299.16
1981-07-01,4319.047
1981-10-01,4289.504
1982-01-01,4321.1
1982-04-01,4334.262
1982-07-01,4363.318
1982-10-01,4439.749
1983-01-01,4483.645
1983-04-01,4574.944
1983-07-01,4656.982
1983-10-01,4731.194
1984-01-01,4770.457
1984-04-01,4837.29
1984-07-01,4873.165
1984-10-01,4936.293
1985-01-01,5020.163
1985-04-01,5066.25
1985-07-01,5162.475
1985-10-01,5173.643
1986-01-01,5218.851
1986-04-01,5275.72
1986-07-01,5369.049
1986-10-01,5401.98
1987-01-01,5407.372
1987-04-01,5481.166
1987-07-01,5543.723
1987-10-01,5555.451
1988-01-01,5653.588
1988-04-01,5695.326
1988-07-01,5745.933
1988-10-01,5811.264
1989-01-01,5838.225
1989-04-01,5865.477
1989-07-01,5922.261
1989-10-01,5948.0
1990-01-01,5998.058
1990-04-01,6016.329
1990-07-01,6040.163
1990-10-01,5994.212
1991-01-01,5971.672
1991-04-01,6021.163
1991-07-01,6051.184
1991-10-01,6048.156
1992-01-01,6161.398
1992-04-01,6203.224
1992-07-01,6269.718
1992-10-01,6344.446
1993-01-01,6368.772
1993-04-01,6426.703
1993-07-01,6498.229
1993-10-01,6555.274
1994-01-01,6630.253
1994-04-01,6681.841
1994-07-01,6732.791
1994-10-01,6805.581
1995-01-01,6822.519
1995-04-01,6882.33
1995-07-01,6944.7
1995-10-01,6993.144
1996-01-01,7057.641
1996-04-01,7133.566
1996-07-01,7176.754
1996-10-01,7233.918
1997-01-01,7310.17
1997-04-01,7343.08
1997-07-01,7468.188
1997-10-01,7557.449
1998-01-01,7633.895
1998-04-01,7768.323
1998-07-01,7869.624
1998-10-01,7983.316
1999-01-01,8060.776
1999-04-01,8178.302
1999-07-01,8270.609
1999-10-01,8391.791
2000-01-01,8520.71
2000-04-01,8603.007
2000-07-01,8687.485
2000-10-01,8762.205
2001-01-01,8797.28
2001-04-01,8818.079
2001-07-01,8848.3
2001-10-01,8980.61
2002-01-01,9008.096
2002-04-01,9054.348
2002-07-01,9119.949
2002-10-01,9172.361
2003-01-01,9215.501
2003-04-01,9318.994
2003-07-01,9455.687
2003-10-01,9519.802
2004-01-01,9604.507
2004-04-01,9664.264
2004-07-01,9771.136
2004-10-01,9877.416
2005-01-01,9935.048
2005-04-01,10047.766
2005-07-01,10145.297
2005-10-01,10175.424
2006-01-01,10288.892
2006-04-01,10341.016
2006-07-01,10403.798
2006-10-01,10504.481
2007-01-01,10563.261
2007-04-01,10582.839
2007-07-01,10642.483
2007-10-01,10672.794
2008-01-01,10644.429
2008-04-01,10661.689
2008-07-01,10581.856
2008-10-01,10483.376
2009-01-01,10459.698
2009-04-01,10417.334
2009-07-01,10489.202
2009-10-01,10473.645
2010-01-01,10525.432
2010-04-01,10609.148
2010-07-01,10683.342
2010-10-01,10753.999
2011-01-01,10799.741
2011-04-01,10823.654
2011-07-01,10866.036
2011-10-01,10885.893
2012-01-01,10973.303
2012-04-01,10989.585
2012-07-01,11007.517
2012-10-01,11056.852
2013-01-01,11114.186
2013-04-01,11122.185
2013-07-01,11167.422
2013-10-01,11263.648
2014-01-01,11308.019
2014-04-01,11431.831
2014-07-01,11554.841
2014-10-01,11694.969
2015-01-01,11792.119
2015-04-01,11885.98
2015-07-01,11976.589
2015-10-01,12030.223
2016-01-01,12124.214
2016-04-01,12211.285
2016-07-01,12289.063
2016-10-01,12365.312
2017-01-01,12438.898
2017-04-01,12512.899
2017-07-01,12586.281
2017-10-01,12729.713
2018-01-01,12782.902
2018-04-01,12909.192
2018-07-01,13019.802
2018-10-01,13066.302
2019-01-01,13103.317
2019-04-01,13250.04
2019-07-01,13353.121
2019-10-01,13413.811
